epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.4148383237496115;0.8657448;0.42392603956799163;0.8031936990152392;0.42828585707146427;0.865748;0.8636364;0.99976367;0.009562154;0.86561143;0.4276099519100305;0.8064157616391261;0.3296771945604103;0.4360730593607306;0.8659409;0.71428573;0.9992821;0.01146789
1;0.3410607020436447;0.8731013;0.4693668006103677;0.8203955932562761;0.4730749874182184;0.87547666;0.7403101;0.9947219;0.09612481;0.8721291;0.4686010072996486;0.8206156108194973;0.3111243661444502;0.46396396396396394;0.8756329;0.6935484;0.9931802;0.09862386
2;0.3265858646244974;0.87466794;0.48031689878358524;0.8261082811078058;0.482897384305835;0.87797743;0.7275542;0.99306756;0.11826874;0.8730602;0.47419132038564643;0.8256584363495065;0.3128783863239004;0.46559633027522934;0.8781419;0.6708861;0.99066764;0.121559635
3;0.32441549789137397;0.8777331;0.4891228739548241;0.8296835131838913;0.4897036664992466;0.8888889;0.6437126;0.981251;0.21640664;0.8755431;0.48324572156822393;0.8283372959160151;0.30560142303164295;0.47706422018348627;0.8898333;0.607362;0.977028;0.22706422
4;0.32068127853921874;0.8789592;0.49683134688898445;0.8330108562121411;0.49924585218702866;0.89081407;0.64705884;0.9801481;0.23251133;0.8758535;0.4908064502650701;0.8317064516553936;0.3036972711095153;0.4851258581235698;0.8903796;0.6084337;0.9766691;0.23165138
5;0.31659127853967606;0.87916356;0.5044971159442292;0.835118735781318;0.5025150905432596;0.8860294;0.698324;0.98723805;0.18872672;0.8792675;0.5001055405812;0.8338399072689793;0.30355012788674907;0.4863013698630137;0.8884927;0.67153287;0.9838478;0.21100917
6;0.3159083350949859;0.8802534;0.5109843766173705;0.8375894987499096;0.5045226130653266;0.89264685;0.6516556;0.97928154;0.24760947;0.8786468;0.5079929199865608;0.8340317248101583;0.30152712398845166;0.49311926605504586;0.8940441;0.6229508;0.9752333;0.2614679
7;0.31497441493159994;0.8812751;0.5186348842088255;0.8396314067276274;0.5078007045797684;0.8877009;0.718638;0.987632;0.20181178;0.880509;0.5107969991265222;0.8359499002219486;0.30249123895930474;0.49445676274944567;0.88939345;0.68345326;0.98420674;0.2178899
8;0.31039962044415703;0.88229686;0.5238320446159975;0.8429900307568757;0.5103170608958228;0.89164287;0.6901615;0.983378;0.23653749;0.8783364;0.5116782629795757;0.8360318137212932;0.29982523650652426;0.5045871559633027;0.89220184;0.62941176;0.97738695;0.24541284
9;0.3108412307315298;0.88222873;0.5254713308600328;0.843988644005478;0.5113236034222446;0.9017366;0.62475824;0.9694344;0.32511324;0.880509;0.5150128705696433;0.8380146143561846;0.29892029573945506;0.5022522522522522;0.9043449;0.6007905;0.9637473;0.34862384
10;0.3069822939980478;0.8832505;0.534512708275079;0.8467237690965753;0.5120724346076458;0.89513457;0.67344344;0.9797542;0.26673377;0.8783364;0.5218437075687619;0.8391021292570322;0.2983601045194137;0.5068181818181818;0.8945287;0.61702126;0.9741565;0.26605505
11;0.30574813591314187;0.8850896;0.5367926268453296;0.848069228780202;0.5175879396984925;0.8949975;0.70053476;0.98235387;0.26371413;0.88268155;0.5213079944208064;0.8414146420174266;0.301477330504997;0.5068807339449541;0.89605266;0.6593407;0.9777459;0.27522936
12;0.30342307280198194;0.8852939;0.5422270546233384;0.8508671933980199;0.5195979899497487;0.90083003;0.65997887;0.9746337;0.31454453;0.8814401;0.5218042224156928;0.8424848686420306;0.2950894824656398;0.5123595505617977;0.90227574;0.61538464;0.9676956;0.33027524
13;0.30305868175494055;0.8849533;0.5429082285579487;0.8518696523463645;0.5203824861600402;0.89549345;0.69401044;0.98148733;0.26824358;0.8820608;0.5236673149859372;0.8443775232650803;0.29733560491910566;0.5125284738041003;0.8975545;0.64285713;0.9748744;0.28899083
